Inventory ID,Workstream,Category,Asset Name,Asset Type,Format,Purpose,Launch Phase,Priority,Review Requirement
EI-INV-001,Shared Foundation,Brand & Sales,Master services webpage,Web copy,HTML,"Publish the complete service portfolio, pricing bands, boundaries, sequence, and inquiry path.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-002,Shared Foundation,Brand & Sales,Service catalog one-sheet,PDF/one-sheet,PDF,Provide a procurement-friendly summary of all five service families.,Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-003,Shared Foundation,Brand & Sales,Capabilities statement,Document,DOCX,"Establish qualifications, problem domain, methods, differentiators, and buyer outcomes.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-004,Shared Foundation,Brand & Sales,Engagement overview deck,Presentation,PPTX,"Support executive, partner, and procurement conversations with a concise visual narrative.",Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-005,Shared Foundation,Brand & Sales,Ideal client profile,Internal standard,DOCX,"Define target sectors, organization maturity, buyer roles, budget fit, and disqualifiers.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-006,Shared Foundation,Brand & Sales,Buyer qualification form,Form,XLSX,"Collect scope, system type, jurisdiction, urgency, stakeholders, evidence access, and budget readiness.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-007,Shared Foundation,Brand & Sales,Inquiry routing rules,Workflow,XLSX,"Route prospects to assessment, workshop, crosswalk, training, advisory, or decline/referral.",Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-008,Shared Foundation,Brand & Sales,Discovery call agenda,Template,DOCX,"Run consistent discovery covering goals, system boundaries, decision authority, constraints, and next step.",Sellable,Critical,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-009,Shared Foundation,Brand & Sales,Discovery notes template,Template,DOCX,"Capture facts, assumptions, risks, buyer needs, commitments, and unresolved questions.",Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
EI-INV-010,Shared Foundation,Brand & Sales,Client-fit scoring rubric,Rubric,XLSX,"Score strategic fit, evidence access, authority, budget, urgency, and delivery risk.",Sellable,High,Legal/specialist review required where applicable; client-specific completion required.
